Gene Symbol	Gene Product Name	GenBank Accession	Strain Name	Collection Date	Host	Country
NS1	Non-structural protein 1	MH125614	A/Alabama/08/2018	1/15/2018	Human	USA
M2	Matrix protein 2	MH125615	A/Alabama/08/2018	1/15/2018	Human	USA
NA	neuraminidase	MK676821	A/Alabama/08/2019	1/26/2019	Human	USA
M2	matrix protein 2	MK676822	A/Alabama/08/2019	1/26/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH126308	A/Alabama/09/2018	1/16/2018	Human	USA
HA	Hemagglutinin	MH126307	A/Alabama/09/2018	1/16/2018	Human	USA
NA	neuraminidase	MK772911	A/Alabama/09/2019	1/31/2019	Human	USA
PB1	polymerase PB1	MK772117	A/Alabama/10/2019	2/1/2019	Human	USA
NA	neuraminidase	MK772121	A/Alabama/10/2019	2/1/2019	Human	USA
PB2	Polymerase basic protein 2	MH125637	A/Alabama/11/2018	1/18/2018	Human	USA
HA	Hemagglutinin	MH125634	A/Alabama/11/2018	1/18/2018	Human	USA
PB1	polymerase PB1	MK772125	A/Alabama/11/2019	2/3/2019	Human	USA
NA	neuraminidase	MK772919	A/Alabama/12/2019	2/4/2019	Human	USA
PA	polymerase PA	MK772916	A/Alabama/12/2019	2/4/2019	Human	USA
HA	Hemagglutinin	MH126377	A/Alabama/13/2018	2/1/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH126387	A/Alabama/14/2018	2/3/2018	Human	USA
PB2	Polymerase basic protein 2	MH126388	A/Alabama/14/2018	2/3/2018	Human	USA
NP	Nucleoprotein	MH126384	A/Alabama/14/2018	2/3/2018	Human	USA
PB2	Polymerase basic protein 2	MH125661	A/Alabama/16/2018	2/5/2018	Human	USA
HA	Hemagglutinin	MH125658	A/Alabama/16/2018	2/5/2018	Human	USA
PA	Polymerase acidic protein	MH183452	A/Alabama/17/2018	2/8/2018	Human	USA
NA	Neuraminidase	MH585854	A/Alabama/18/2018	2/10/2018	Human	USA
PB2	Polymerase basic protein 2	MH585849	A/Alabama/18/2018	2/10/2018	Human	USA
PB2	Polymerase basic protein 2	MH183458	A/Alabama/19/2018	2/10/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH183459	A/Alabama/19/2018	2/10/2018	Human	USA
PA	Polymerase acidic protein	MH183460	A/Alabama/19/2018	2/10/2018	Human	USA
PB2	Polymerase basic protein 2	MH585857	A/Alabama/20/2018	2/11/2018	Human	USA
PB2	Polymerase basic protein 2	MH601181	A/Alabama/26/2018	2/9/2018	Human	USA
HA	Hemagglutinin	MH601182	A/Alabama/26/2018	2/9/2018	Human	USA
NA	Neuraminidase	MH601196	A/Alabama/29/2018	2/13/2018	Human	USA
PB2	Polymerase basic protein 2	MH601201	A/Alabama/29/2018	2/13/2018	Human	USA
NA	Neuraminidase	MH601206	A/Alabama/30/2018	2/13/2018	Human	USA
PA	Polymerase acidic protein	MH601207	A/Alabama/30/2018	2/13/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH601215	A/Alabama/32/2018	2/19/2018	Human	USA
PA-X	Protein PA-X	MH601213	A/Alabama/32/2018	2/19/2018	Human	USA
NP	Nucleoprotein	MH081898	A/Alabama/33/2017	12/14/2017	Human	USA
M2	Matrix protein 2	MH081899	A/Alabama/33/2017	12/14/2017	Human	USA
PA	polymerase PA	MK245925	A/Alabama/33/2018	10/2/2018	Human	USA
NA	neuraminidase	MK245928	A/Alabama/33/2018	10/2/2018	Human	USA
HA	hemagglutinin	MK245926	A/Alabama/33/2018	10/2/2018	Human	USA
PA	Polymerase acidic protein	MH083316	A/Alabama/34/2017	12/15/2017	Human	USA
HA	Hemagglutinin	MH083317	A/Alabama/34/2017	12/15/2017	Human	USA
NS1	Non-structural protein 1	MH083321	A/Alabama/34/2017	12/15/2017	Human	USA
NA	neuraminidase	MK265660	A/Alabama/34/2018	10/17/2018	Human	USA
HA	hemagglutinin	MK265658	A/Alabama/34/2018	10/17/2018	Human	USA
PB2	polymerase PB2	MK265655	A/Alabama/34/2018	10/17/2018	Human	USA
PA	polymerase PA	MK265657	A/Alabama/34/2018	10/17/2018	Human	USA
NS1	nonstructural protein 1	MK265662	A/Alabama/34/2018	10/17/2018	Human	USA
NS2	nuclear export protein	MK265662	A/Alabama/34/2018	10/17/2018	Human	USA
NA	neuraminidase	MK364069	A/Alabama/35/2018	10/23/2018	Human	USA
NP	nucleocapsid protein	MK364068	A/Alabama/35/2018	10/23/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH081918	A/Alabama/36/2017	12/21/2017	Human	USA
PA-X	Protein PA-X	MH081917	A/Alabama/36/2017	12/21/2017	Human	USA
PA	Polymerase acidic protein	MH081917	A/Alabama/36/2017	12/21/2017	Human	USA
NP	Nucleoprotein	MH081915	A/Alabama/36/2017	12/21/2017	Human	USA
PB2	polymerase PB2	MK398747	A/Alabama/37/2018	11/26/2018	Human	USA
HA	hemagglutinin	MK398750	A/Alabama/37/2018	11/26/2018	Human	USA
NA	neuraminidase	MK398752	A/Alabama/37/2018	11/26/2018	Human	USA
NP	nucleocapsid protein	MK475543	A/Alabama/40/2018	12/1/2018	Human	USA
HA	hemagglutinin	MK475542	A/Alabama/40/2018	12/1/2018	Human	USA
NA	neuraminidase	MK474670	A/Alabama/41/2018	12/3/2018	Human	USA
PB1-F2	PB1-F2 protein	MK474666	A/Alabama/41/2018	12/3/2018	Human	USA
PA	polymerase PA	MK474667	A/Alabama/41/2018	12/3/2018	Human	USA
NA	neuraminidase	MK626039	A/Alabama/42/2018	12/11/2018	Human	USA
PB2	polymerase PB2	MK623041	A/Alabama/43/2018	12/11/2018	Human	USA
HA	hemagglutinin	MK623052	A/Alabama/44/2018	12/11/2018	Human	USA
HA	hemagglutinin	MK556846	A/Alabama/45/2018	12/30/2018	Human	USA
HA	Hemagglutinin	MH885168	A/Alabama/6754/2018	1/25/2018	Human	USA
PA	polymerase PA	MK382230	A/Alabama/7007/2018	1/30/2018	Human	USA
PB2	Polymerase basic protein 2	MH125662	A/Alaska/01/2018	1/2/2018	Human	USA
HA	Hemagglutinin	MH125667	A/Alaska/01/2018	1/2/2018	Human	USA
HA	hemagglutinin	MK744720	A/Alaska/01/2019	1/7/2019	Human	USA
PB2	Polymerase basic protein 2	MH126404	A/Alaska/02/2018	1/15/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH125586	A/Alaska/03/2018	1/21/2018	Human	USA
NP	Nucleoprotein	MH125594	A/Alaska/03/2018	1/21/2018	Human	USA
PA-X	PA-X protein	MK676826	A/Alaska/04/2019	1/12/2019	Human	USA
HA	hemagglutinin	MK676827	A/Alaska/04/2019	1/12/2019	Human	USA
NA	Neuraminidase	MH183471	A/Alaska/05/2018	2/2/2018	Human	USA
PA	Polymerase acidic protein	MH183468	A/Alaska/05/2018	2/2/2018	Human	USA
HA	Hemagglutinin	MH183469	A/Alaska/05/2018	2/2/2018	Human	USA
NA	neuraminidase	MK676342	A/Alaska/05/2019	1/15/2019	Human	USA
NP	Nucleoprotein	MH183478	A/Alaska/07/2018	2/8/2018	Human	USA
M1	matrix protein 1	MK676352	A/Alaska/07/2019	1/15/2019	Human	USA
NA	neuraminidase	MK268374	A/Alaska/08/2018	2/10/2018	Human	USA
PA-X	PA-X protein	MK715705	A/Alaska/08/2019	1/22/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH306705	A/Alaska/09/2018	2/13/2018	Human	USA
NA	neuraminidase	MK744194	A/Alaska/09/2019	1/24/2019	Human	USA
NA	Neuraminidase	MH245907	A/Alaska/10/2018	2/17/2018	Human	USA
PA	Polymerase acidic protein	MH601221	A/Alaska/100/2017	12/17/2017	Human	USA
PA-X	Protein PA-X	MH601221	A/Alaska/100/2017	12/17/2017	Human	USA
HA	Hemagglutinin	MH601226	A/Alaska/100/2017	12/17/2017	Human	USA
NA	Neuraminidase	MH897994	A/Alaska/11/2018	2/20/2018	Human	USA
HA	Hemagglutinin	MH246247	A/Alaska/11/2018	2/20/2018	Human	USA
NP	Nucleocapsid protein	MH898001	A/Alaska/11/2018	2/20/2018	Human	USA
NP	Nucleoprotein	MH246248	A/Alaska/11/2018	2/20/2018	Human	USA
HA	hemagglutinin	MK744164	A/Alaska/11/2019	1/25/2019	Human	USA
PB2	Polymerase basic protein 2	MH245920	A/Alaska/12/2018	2/20/2018	Human	USA
PB1	polymerase PB1	MK772133	A/Alaska/12/2019	1/24/2019	Human	USA
NA	neuraminidase	MK772145	A/Alaska/13/2019	1/28/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH305634	A/Alaska/14/2018	3/2/2018	Human	USA
HA	Hemagglutinin	MH305636	A/Alaska/14/2018	3/2/2018	Human	USA
PB2	Polymerase basic protein 2	MH305641	A/Alaska/15/2018	3/4/2018	Human	USA
HA	Hemagglutinin	MH305644	A/Alaska/15/2018	3/4/2018	Human	USA
HA	Hemagglutinin	MH306763	A/Alaska/16/2018	3/5/2018	Human	USA
NA	Neuraminidase	MH306757	A/Alaska/16/2018	3/5/2018	Human	USA
NS1	Non-structural protein 1	MH306759	A/Alaska/16/2018	3/5/2018	Human	USA
PB2	Polymerase basic protein 2	MH359766	A/Alaska/17/2018	3/9/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH358484	A/Alaska/18/2018	3/9/2018	Human	USA
HA	Hemagglutinin	MH359822	A/Alaska/19/2018	3/12/2018	Human	USA
PA	Polymerase acidic protein	MH359821	A/Alaska/19/2018	3/12/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH359820	A/Alaska/19/2018	3/12/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH358492	A/Alaska/20/2018	3/19/2018	Human	USA
HA	Hemagglutinin	MH601233	A/Alaska/23/2018	1/22/2018	Human	USA
PB2	Polymerase basic protein 2	MH601235	A/Alaska/23/2018	1/22/2018	Human	USA
NA	Neuraminidase	MH601228	A/Alaska/23/2018	1/22/2018	Human	USA
HA	Hemagglutinin	MH601242	A/Alaska/24/2018	1/25/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH601247	A/Alaska/25/2018	2/15/2018	Human	USA
NA	Neuraminidase	MH601244	A/Alaska/25/2018	2/15/2018	Human	USA
PB2	Polymerase basic protein 2	MH601253	A/Alaska/27/2018	2/18/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH601263	A/Alaska/29/2018	3/6/2018	Human	USA
HA	Hemagglutinin	MH601274	A/Alaska/31/2018	3/9/2018	Human	USA
NA	Neuraminidase	MH601269	A/Alaska/31/2018	3/9/2018	Human	USA
PA-X	Protein PA-X	MH601270	A/Alaska/31/2018	3/9/2018	Human	USA
NA	Neuraminidase	MH600121	A/Alaska/33/2018	4/1/2018	Human	USA
M1	Matrix protein 1	MH600578	A/Alaska/34/2018	4/5/2018	Human	USA
HA	Hemagglutinin	MH600575	A/Alaska/34/2018	4/5/2018	Human	USA
PB2	Polymerase basic protein 2	MH600124	A/Alaska/35/2018	4/10/2018	Human	USA
PA	Polymerase acidic protein	MH600134	A/Alaska/36/2018	4/14/2018	Human	USA
PA-X	Protein PA-X	MH600134	A/Alaska/36/2018	4/14/2018	Human	USA
M2	Matrix protein 2	MH600138	A/Alaska/36/2018	4/14/2018	Human	USA
M1	Matrix protein 1	MH600138	A/Alaska/36/2018	4/14/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH600133	A/Alaska/36/2018	4/14/2018	Human	USA
PA	Polymerase acidic protein	MH600584	A/Alaska/37/2018	4/14/2018	Human	USA
PB1-F2	PB1-F2 protein	MH600583	A/Alaska/37/2018	4/14/2018	Human	USA
PB2	Polymerase basic protein 2	MH600141	A/Alaska/39/2018	4/14/2018	Human	USA
PB2	Polymerase basic protein 2	MH600598	A/Alaska/40/2018	4/16/2018	Human	USA
NS1	Non-structural protein 1	MH669927	A/Alaska/42/2018	5/5/2018	Human	USA
NEP	Nuclear export protein	MH669927	A/Alaska/42/2018	5/5/2018	Human	USA
HA	Hemagglutinin	MH669563	A/Alaska/43/2018	5/9/2018	Human	USA
NP	Nucleoprotein	MH729414	A/Alaska/46/2018	6/1/2018	Human	USA
PA	Polymerase acidic protein	MH729412	A/Alaska/46/2018	6/1/2018	Human	USA
HA	Hemagglutinin	MH729413	A/Alaska/46/2018	6/1/2018	Human	USA
HA	hemagglutinin	MK027499	A/Alaska/46/2018	6/1/2018	Human	USA
PB2	Polymerase basic protein 2	MH729410	A/Alaska/46/2018	6/1/2018	Human	USA
NS1	nonstructural protein 1	MK181831	A/Alaska/47/2018	9/4/2018	Human	USA
PB1	polymerase PB1	MK181825	A/Alaska/47/2018	9/4/2018	Human	USA
HA	hemagglutinin	MK181827	A/Alaska/47/2018	9/4/2018	Human	USA
M2	matrix protein 2	MK182042	A/Alaska/48/2018	9/10/2018	Human	USA
PB2	polymerase PB2	MK182036	A/Alaska/48/2018	9/10/2018	Human	USA
HA	hemagglutinin	MK181875	A/Alaska/49/2018	9/13/2018	Human	USA
NA	neuraminidase	MK181877	A/Alaska/49/2018	9/13/2018	Human	USA
HA	hemagglutinin	MK363611	A/Alaska/52/2018	9/12/2018	Human	USA
PA	polymerase PA	MK363606	A/Alaska/52/2018	9/12/2018	Human	USA
NA	neuraminidase	MK245784	A/Alaska/53/2018	9/14/2018	Human	USA
NP	nucleocapsid protein	MK363412	A/Alaska/54/2018	10/10/2018	Human	USA
NS1	nonstructural protein 1	MK363415	A/Alaska/54/2018	10/10/2018	Human	USA
HA	hemagglutinin	MK364392	A/Alaska/55/2018	10/16/2018	Human	USA
PA	polymerase PA	MK364391	A/Alaska/55/2018	10/16/2018	Human	USA
PA	polymerase PA	MK364319	A/Alaska/56/2018	10/18/2018	Human	USA
NS1	nonstructural protein 1	MK475322	A/Alaska/57/2018	11/15/2018	Human	USA
PB2	polymerase PB2	MK475315	A/Alaska/57/2018	11/15/2018	Human	USA
M2	matrix protein 2	MK474848	A/Alaska/58/2018	11/17/2018	Human	USA
NA	neuraminidase	MK474847	A/Alaska/58/2018	11/17/2018	Human	USA
HA	hemagglutinin	MK474845	A/Alaska/58/2018	11/17/2018	Human	USA
M2	matrix protein 2	MK623978	A/Alaska/59/2018	11/18/2018	Human	USA
NP	nucleocapsid protein	MK475495	A/Alaska/60/2018	11/25/2018	Human	USA
PA	polymerase PA	MK623029	A/Alaska/62/2018	11/30/2018	Human	USA
PA-X	PA-X protein	MK623029	A/Alaska/62/2018	11/30/2018	Human	USA
NS1	nonstructural protein 1	MK623345	A/Alaska/63/2018	12/14/2018	Human	USA
PB2	polymerase PB2	MK623338	A/Alaska/63/2018	12/14/2018	Human	USA
NA	neuraminidase	MK623343	A/Alaska/63/2018	12/14/2018	Human	USA
HA	Hemagglutinin	MH294732	A/Alaska/6385/2017	11/2/2017	Human	USA
NA	neuraminidase	MK623351	A/Alaska/64/2018	12/17/2018	Human	USA
PB1	polymerase PB1	MK623347	A/Alaska/64/2018	12/17/2018	Human	USA
HA	Hemagglutinin	MH294804	A/Alaska/6438/2017	12/8/2017	Human	USA
PB1	polymerase PB1	MK623957	A/Alaska/65/2018	12/17/2018	Human	USA
PA	polymerase PA	MK623958	A/Alaska/65/2018	12/17/2018	Human	USA
PA-X	PA-X protein	MK623958	A/Alaska/65/2018	12/17/2018	Human	USA
NA	neuraminidase	MK623954	A/Alaska/66/2018	12/18/2018	Human	USA
PB1	polymerase PB1	MK623950	A/Alaska/66/2018	12/18/2018	Human	USA
HA	hemagglutinin	MK772800	A/Alaska/67/2018	12/28/2018	Human	USA
NP	Nucleoprotein	MH306710	A/Alaska/68/2017	11/6/2017	Human	USA
PB1	polymerase PB1	MK772923	A/Alaska/68/2018	12/31/2018	Human	USA
PB2	polymerase PB2	MK401286	A/Alaska/7117/2018	1/31/2018	Human	USA
PA	polymerase PA	MK401129	A/Alaska/7118/2018	2/7/2018	Human	USA
HA	hemagglutinin	MK400714	A/Alaska/7118/2018	2/7/2018	Human	USA
M1	matrix protein 1	MK380044	A/Alaska/7516/2018	10/30/2018	Human	USA
PB1-F2	PB1-F2 protein	MK380179	A/Alaska/7516/2018	10/30/2018	Human	USA
PA	polymerase PA	MK380152	A/Alaska/7516/2018	10/30/2018	Human	USA
PA-X	PA-X protein	MK380152	A/Alaska/7516/2018	10/30/2018	Human	USA
HA	hemagglutinin	MK380017	A/Alaska/7516/2018	10/30/2018	Human	USA
HA	hemagglutinin	MK576738	A/Alaska/7804/2019	1/8/2019	Human	USA
NP	nucleocapsid protein	MK576749	A/Alaska/7805/2019	1/8/2019	Human	USA
PB2	polymerase PB2	MK576679	A/Alaska/7807/2019	1/8/2019	Human	USA
NP	nucleocapsid protein	MK743205	A/Alaska/7957/2019	1/15/2019	Human	USA
NS1	Non-structural protein 1	MH083328	A/Alaska/80/2017	12/8/2017	Human	USA
HA	Hemagglutinin	MH083324	A/Alaska/80/2017	12/8/2017	Human	USA
NA	Neuraminidase	MH083326	A/Alaska/80/2017	12/8/2017	Human	USA
HA	hemagglutinin	MK762952	A/Alaska/8099/2019	1/15/2019	Human	USA
HA	Hemagglutinin	MH081924	A/Alaska/81/2017	12/23/2017	Human	USA
PA	polymerase PA	MK763393	A/Alaska/8102/2019	1/29/2019	Human	USA
NA	neuraminidase	MK763134	A/Alaska/8102/2019	1/29/2019	Human	USA
PA-X	PA-X protein	MK763393	A/Alaska/8102/2019	1/29/2019	Human	USA
HA	Hemagglutinin	MH081932	A/Alaska/82/2017	12/28/2017	Human	USA
M1	Matrix protein 1	MH601294	A/Alaska/86/2017	10/17/2017	Human	USA
NA	Neuraminidase	MH131208	A/Alaska/89/2017	11/14/2017	Human	USA
PA	Polymerase acidic protein	MH131225	A/Alaska/91/2017	11/19/2017	Human	USA
M1	Matrix protein 1	MH131234	A/Alaska/92/2017	11/19/2017	Human	USA
M1	Matrix protein 1	MH131250	A/Alaska/94/2017	11/26/2017	Human	USA
NS1	Non-structural protein 1	MH131276	A/Alaska/97/2017	12/15/2017	Human	USA
PA	Polymerase acidic protein	MH131273	A/Alaska/97/2017	12/15/2017	Human	USA
PA-X	Protein PA-X	MH131273	A/Alaska/97/2017	12/15/2017	Human	USA
HA	Hemagglutinin	MH131294	A/Alaska/99/2017	12/18/2017	Human	USA
NA	Neuraminidase	MH131288	A/Alaska/99/2017	12/18/2017	Human	USA
NS1	Non-structural protein 1	MH126435	A/Arizona/01/2018	1/5/2018	Human	USA
PB2	polymerase PB2	MK630799	A/Arizona/01/2019	1/1/2019	Human	USA
HA	hemagglutinin	MK630802	A/Arizona/01/2019	1/1/2019	Human	USA
PB2	Polymerase basic protein 2	MH126444	A/Arizona/02/2018	1/10/2018	Human	USA
NP	Nucleoprotein	MH126440	A/Arizona/02/2018	1/10/2018	Human	USA
HA	hemagglutinin	MK744744	A/Arizona/02/2019	1/1/2019	Human	USA
PB1	polymerase PB1	MK744742	A/Arizona/02/2019	1/1/2019	Human	USA
NS1	Non-structural protein 1	MH125670	A/Arizona/03/2018	1/20/2018	Human	USA
PB2	Polymerase basic protein 2	MH125684	A/Arizona/04/2018	1/22/2018	Human	USA
PA	polymerase PA	MK676356	A/Arizona/04/2019	1/4/2019	Human	USA
PB1	polymerase PB1	MK676355	A/Arizona/04/2019	1/4/2019	Human	USA
HA	hemagglutinin	MK676843	A/Arizona/05/2019	1/6/2019	Human	USA
NP	nucleocapsid protein	MK676844	A/Arizona/05/2019	1/6/2019	Human	USA
NS1	nonstructural protein 1	MK676847	A/Arizona/05/2019	1/6/2019	Human	USA
PB1-F2	PB1-F2 protein	MK676841	A/Arizona/05/2019	1/6/2019	Human	USA
HA	Hemagglutinin	MH233366	A/Arizona/06/2018	1/18/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH233371	A/Arizona/06/2018	1/18/2018	Human	USA
PB1-F2	PB1-F2 protein	MK676849	A/Arizona/06/2019	1/7/2019	Human	USA
PB2	polymerase PB2	MK676364	A/Arizona/07/2019	1/14/2019	Human	USA
PA	Polymerase acidic protein	MH183492	A/Arizona/08/2018	2/4/2018	Human	USA
PA-X	Protein PA-X	MH183492	A/Arizona/08/2018	2/4/2018	Human	USA
NA	Neuraminidase	MH183495	A/Arizona/08/2018	2/4/2018	Human	USA
PB2	Polymerase basic protein 2	MH183490	A/Arizona/08/2018	2/4/2018	Human	USA
PB1	polymerase PB1	MK715720	A/Arizona/08/2019	1/13/2019	Human	USA
NA	neuraminidase	MK715724	A/Arizona/08/2019	1/13/2019	Human	USA
HA	hemagglutinin	MK715722	A/Arizona/08/2019	1/13/2019	Human	USA
NA	Neuraminidase	MH305654	A/Arizona/09/2018	1/2/2018	Human	USA
NS1	nonstructural protein 1	MK744204	A/Arizona/09/2019	1/19/2019	Human	USA
PB2	polymerase PB2	MK744197	A/Arizona/09/2019	1/19/2019	Human	USA
PA	Polymerase acidic protein	MH305659	A/Arizona/10/2018	1/8/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH305658	A/Arizona/10/2018	1/8/2018	Human	USA
PB2	polymerase PB2	MK715727	A/Arizona/10/2019	1/20/2019	Human	USA
PA	Polymerase acidic protein	MH305667	A/Arizona/11/2018	1/11/2018	Human	USA
PB1	polymerase PB1	MK744206	A/Arizona/11/2019	1/20/2019	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH306765	A/Arizona/12/2018	1/22/2018	Human	USA
PA	Polymerase acidic protein	MH306772	A/Arizona/13/2018	1/23/2018	Human	USA
NP	Nucleoprotein	MH306774	A/Arizona/13/2018	1/23/2018	Human	USA
NS1	Non-structural protein 1	MH306777	A/Arizona/13/2018	1/23/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH306779	A/Arizona/13/2018	1/23/2018	Human	USA
PB2	Polymerase basic protein 2	MH306778	A/Arizona/13/2018	1/23/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH305674	A/Arizona/14/2018	2/11/2018	Human	USA
PA	Polymerase acidic protein	MH305675	A/Arizona/14/2018	2/11/2018	Human	USA
PA-X	Protein PA-X	MH305675	A/Arizona/14/2018	2/11/2018	Human	USA
PB2	Polymerase basic protein 2	MH305673	A/Arizona/14/2018	2/11/2018	Human	USA
PB2	Polymerase basic protein 2	MH306781	A/Arizona/15/2018	2/11/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH306782	A/Arizona/15/2018	2/11/2018	Human	USA
PB1-F2	Putative PB1-F2 protein	MH306789	A/Arizona/16/2018	2/11/2018	Human	USA
HA	Hemagglutinin	MH306791	A/Arizona/16/2018	2/11/2018	Human	USA
PA-X	Protein PA-X	MH306790	A/Arizona/16/2018	2/11/2018	Human	USA
HA	Hemagglutinin	MH359831	A/Arizona/18/2018	3/3/2018	Human	USA
PA	Polymerase acidic protein	MH359830	A/Arizona/18/2018	3/3/2018	Human	USA
PA-X	Protein PA-X	MH359830	A/Arizona/18/2018	3/3/2018	Human	USA
PB2	Polymerase basic protein 2	MH359828	A/Arizona/18/2018	3/3/2018	Human	USA
PB2	Polymerase basic protein 2	MH359835	A/Arizona/19/2018	3/6/2018	Human	USA
PB2	Polymerase basic protein 2	MH358515	A/Arizona/21/2018	3/5/2018	Human	USA
HA	Hemagglutinin	MH359846	A/Arizona/22/2018	3/13/2018	Human	USA
PB2	Polymerase basic protein 2	MH359843	A/Arizona/22/2018	3/13/2018	Human	USA
NEP	Nuclear export protein	MH359850	A/Arizona/22/2018	3/13/2018	Human	USA
NA	Neuraminidase	MH359848	A/Arizona/22/2018	3/13/2018	Human	USA
HA	Hemagglutinin	MH358526	A/Arizona/23/2018	3/15/2018	Human	USA
PB2	Polymerase basic protein 2	MH358523	A/Arizona/23/2018	3/15/2018	Human	USA
NP	Nucleoprotein	MH358527	A/Arizona/23/2018	3/15/2018	Human	USA
NS1	Non-structural protein 1	MH358529	A/Arizona/23/2018	3/15/2018	Human	USA
NA	Neuraminidase	MH446498	A/Arizona/26/2018	2/13/2018	Human	USA
PA	Polymerase acidic protein	MH446509	A/Arizona/27/2018	3/20/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH446510	A/Arizona/27/2018	3/20/2018	Human	USA
PB2	Polymerase basic protein 2	MH446511	A/Arizona/27/2018	3/20/2018	Human	USA
HA	Hemagglutinin	MH446508	A/Arizona/27/2018	3/20/2018	Human	USA
HA	Hemagglutinin	MH845798	A/Arizona/28/2018	3/24/2018	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	MH669929	A/Arizona/29/2018	4/12/2018	Human	USA
NS1	Non-structural protein 1	MH669583	A/Arizona/31/2018	4/15/2018	Human	USA
PA	Polymerase acidic protein	MH669578	A/Arizona/31/2018	4/15/2018	Human	USA
HA	Hemagglutinin	MH669579	A/Arizona/31/2018	4/15/2018	Human	USA
NS1	Non-structural protein 1	MH669591	A/Arizona/32/2018	4/26/2018	Human	USA
PB2	Polymerase basic protein 2	MH669584	A/Arizona/32/2018	4/26/2018	Human	USA
PB2	Polymerase basic protein 2	MH669592	A/Arizona/33/2018	5/15/2018	Human	USA
PB2	Polymerase basic protein 2	MH669854	A/Arizona/34/2018	5/25/2018	Human	USA
HA	Hemagglutinin	MH669856	A/Arizona/34/2018	5/25/2018	Human	USA
PA	Polymerase acidic protein	MH669855	A/Arizona/34/2018	5/25/2018	Human	USA
